大大吉,最高の一日を！！
大吉,頼んでないのにポテトがLサイズ！
大吉,フライドチキン食べよう！
大吉,飲み会で奢られちゃう！?
大吉,商談成功！
大吉,気になる人からアピールが！？
末吉,ランチでサービスが！？
末吉,ほどほどにモテる！
末吉,有名人に遭遇！
末吉,怖い上司から差し入れ！？
末吉,捨て猫が寄ってくる！
末吉,テストが72点以上！
末吉,クーポンゲット！
末吉,夢で100万ゲット！
末吉,テストで77点！
末吉,嫌いな上司が休み！
末吉,欲しかったゲームを衝動買い！
末吉,親からの差し入れ！
末吉,新曲出てるよ！
吉,電車の乗り継ぎがスムーズ！
吉,お弁当の唐揚げが３個多いかも！
吉,ネットショッピングで割引が！
吉,上司からお褒めの言葉が！
吉,差し入れがシュークリーム！
吉,綺麗なお姉さんに道を聞かれる！？
吉,髪型絶好調！
吉,青信号ばっか！
吉,自販機で大当たり！
吉,ステーキが半額！
吉,宝くじで500円当たる！
吉,金沢に出張！
吉,牡蠣小屋でカキパ！
吉,晩御飯がカレー！
小吉,昔の友人から嬉しい連絡が！
小吉,昨日買ったデザートが待ってる！
小吉,好きな有名人が結婚！
小吉,漫画の続刊出てた！
小吉,替え玉無料！？
小吉,UFOキャッチャーで一発ゲット！
小吉,お小遣いUP！？
小吉,捨て猫を拾う！
小吉,棚から牡丹餅
小吉,安心立命
小吉,一粒万倍
小吉,温故知新
小吉,一飯千金
小吉,諸行無常
小吉,以心伝心
小吉,水魚之交
凶,犬のう○ちに注意
